"","exp","elapsed.time","treat","compound","cum"
"1","Pig B",88.3,"NEO","2,3-Butandione","0.767  ±  0.477"
"2","Pig B",88.3,"NEO","2-Butanone","0.679  ±  0.476"
"3","Pig B",88.3,"NEO","3-methylindole","0.456  ±  0.33"
"4","Pig B",88.3,"NEO","4-Ethylphenol","0.307  ±  0.223"
"5","Pig B",88.3,"NEO","4-Methylphenol","0.194  ±  0.171"
"6","Pig B",88.3,"NEO","5-Methyl-2-nitrophenol","0.728  ±  0.39"
"7","Pig B",88.3,"NEO","Acetaldehyde","3.45  ±  1.67"
"8","Pig B",88.3,"NEO","Acetic acid","5.3  ±  8.6"
"9","Pig B",88.3,"NEO","Acetone","1.5  ±  1.4"
"10","Pig B",88.3,"NEO","Acetyl acetone","0.997  ±  0.144"
"11","Pig B",88.3,"NEO","Alcohol fragment from 2- butanol","1.79  ±  3.08"
"12","Pig B",88.3,"NEO","Alcohol fragment from 2-propanol","3.21  ±  5.53"
"13","Pig B",88.3,"NEO","Alcohol fragment from 2-propanol","1.01  ±  1.74"
"14","Pig B",88.3,"NEO","Benzene","0.605  ±  0.172"
"15","Pig B",88.3,"NEO","Butanoic acid","4.36  ±  7.39"
"16","Pig B",88.3,"NEO","C5 carboxylic acid","3.46  ±  5.84"
"17","Pig B",88.3,"NEO","Cyclohexene","0.401  ±  0.563"
"18","Pig B",88.3,"NEO","Dimethyl sulfide","0.499  ±  0.369"
"19","Pig B",88.3,"NEO","Formic acid","2.17  ±  0.0955"
"20","Pig B",88.3,"NEO","Hydrogen sulfide","90.1  ±  30.7"
"21","Pig B",88.3,"NEO","Isoprene","0.687  ±  1.03"
"22","Pig B",88.3,"NEO","Methanol","8.36  ±  2.08"
"23","Pig B",88.3,"NEO","Methanthiol","0.459  ±  0.197"
"24","Pig B",88.3,"NEO","Phenol","0.354  ±  0.364"
"25","Pig B",88.3,"NEO","Propionic acid","16.9  ±  29.2"
"26","Pig B",88.3,"NEO","Trimethylamine","0.427  ±  0.118"
"27","Pig B",88.3,"NEO","Unknown A","0.509  ±  0.132"
"28","Pig B",88.3,"NEO","Unknown B","0.199  ±  0.308"
"29","Pig B",88.3,"Raw","2,3-Butandione","1.93  ±  0.731"
"30","Pig B",88.3,"Raw","2-Butanone","4.53  ±  4.87"
"31","Pig B",88.3,"Raw","3-methylindole","0.287  ±  0.103"
"32","Pig B",88.3,"Raw","4-Ethylphenol","0.528  ±  0.584"
"33","Pig B",88.3,"Raw","4-Methylphenol","0.538  ±  0.584"
"34","Pig B",88.3,"Raw","5-Methyl-2-nitrophenol","0.761  ±  0.184"
"35","Pig B",88.3,"Raw","Acetaldehyde","6.52  ±  4.79"
"36","Pig B",88.3,"Raw","Acetic acid","2.81  ±  4.38"
"37","Pig B",88.3,"Raw","Acetone","42.8  ±  42.4"
"38","Pig B",88.3,"Raw","Acetyl acetone","1.18  ±  0.411"
"39","Pig B",88.3,"Raw","Alcohol fragment from 2- butanol","3.06  ±  1.05"
"40","Pig B",88.3,"Raw","Alcohol fragment from 2-propanol","5.5  ±  1.88"
"41","Pig B",88.3,"Raw","Alcohol fragment from 2-propanol","1.73  ±  0.591"
"42","Pig B",88.3,"Raw","Benzene","0.349  ±  0.128"
"43","Pig B",88.3,"Raw","Butanoic acid","3.51  ±  2.11"
"44","Pig B",88.3,"Raw","C5 carboxylic acid","3.54  ±  1.05"
"45","Pig B",88.3,"Raw","Cyclohexene","0.681  ±  0.697"
"46","Pig B",88.3,"Raw","Dimethyl sulfide","0.42  ±  0.0633"
"47","Pig B",88.3,"Raw","Formic acid","1.55  ±  0.0531"
"48","Pig B",88.3,"Raw","Hydrogen sulfide","84.4  ±  17.4"
"49","Pig B",88.3,"Raw","Isoprene","1.66  ±  0.535"
"50","Pig B",88.3,"Raw","Methanol","12.2  ±  9.42"
"51","Pig B",88.3,"Raw","Methanthiol","0.332  ±  0.0583"
"52","Pig B",88.3,"Raw","Phenol","0.575  ±  0.401"
"53","Pig B",88.3,"Raw","Propionic acid","20.8  ±  10"
"54","Pig B",88.3,"Raw","Trimethylamine","0.861  ±  0.786"
"55","Pig B",88.3,"Raw","Unknown A","0.378  ±  0.258"
"56","Pig B",88.3,"Raw","Unknown B","1.28  ±  1.17"
"57","Pig B",88.3,"Separated","2,3-Butandione","0.721  ±  0.563"
"58","Pig B",88.3,"Separated","2-Butanone","0.184  ±  0.0466"
"59","Pig B",88.3,"Separated","3-methylindole","0.379  ±  0.0468"
"60","Pig B",88.3,"Separated","4-Ethylphenol","0.0494  ±  0.0563"
"61","Pig B",88.3,"Separated","4-Methylphenol","0.045  ±  0.0138"
"62","Pig B",88.3,"Separated","5-Methyl-2-nitrophenol","0.445  ±  0.229"
"63","Pig B",88.3,"Separated","Acetaldehyde","2.36  ±  0.57"
"64","Pig B",88.3,"Separated","Acetic acid","0.406  ±  0.315"
"65","Pig B",88.3,"Separated","Acetone","3.07  ±  2.21"
"66","Pig B",88.3,"Separated","Acetyl acetone","1.05  ±  0.494"
"67","Pig B",88.3,"Separated","Alcohol fragment from 2- butanol","0.027  ±  0.0467"
"68","Pig B",88.3,"Separated","Alcohol fragment from 2-propanol","0.0484  ±  0.0839"
"69","Pig B",88.3,"Separated","Alcohol fragment from 2-propanol","0.0152  ±  0.0264"
"70","Pig B",88.3,"Separated","Benzene","0.574  ±  0.291"
"71","Pig B",88.3,"Separated","Butanoic acid","0.34  ±  0.535"
"72","Pig B",88.3,"Separated","C5 carboxylic acid","0.251  ±  0.211"
"73","Pig B",88.3,"Separated","Cyclohexene","0.0217  ±  0.0188"
"74","Pig B",88.3,"Separated","Dimethyl sulfide","0.424  ±  0.0485"
"75","Pig B",88.3,"Separated","Formic acid","1.99  ±  0.75"
"76","Pig B",88.3,"Separated","Hydrogen sulfide","87.7  ±  22.7"
"77","Pig B",88.3,"Separated","Isoprene","0.0227  ±  0.0393"
"78","Pig B",88.3,"Separated","Methanol","6.59  ±  1.63"
"79","Pig B",88.3,"Separated","Methanthiol","0.351  ±  0.0273"
"80","Pig B",88.3,"Separated","Phenol","0.0461  ±  0.0356"
"81","Pig B",88.3,"Separated","Propionic acid","0  ±  0"
"82","Pig B",88.3,"Separated","Trimethylamine","0.226  ±  0.0714"
"83","Pig B",88.3,"Separated","Unknown A","0.567  ±  0.293"
"84","Pig B",88.3,"Separated","Unknown B","0.0518  ±  0.043"
