"","exp","treat","cum.per"
"1","Digestate A","NEO",13.5509637573788
"2","Digestate A","NEO",12.2933416049786
"3","Digestate A","NEO",13.7850397749771
"4","Digestate A","Raw",49.5815376067948
"5","Digestate A","Raw",50.4591883983111
"6","Digestate A","Raw",53.6337464320677
"7","Digestate A","Separated",16.9158630898946
"8","Digestate A","Separated",16.5514422899079
"9","Digestate A","Separated",20.402253110789
"10","Digestate B","NEO",4.99235291540066
"11","Digestate B","NEO",4.72065763380075
"12","Digestate B","NEO",5.89446065780465
"13","Digestate B","Raw",45.1285238566951
"14","Digestate B","Raw",43.7041261695897
"15","Digestate B","Raw",45.8683654066358
"16","Digestate B","Separated",12.9278614594178
"17","Digestate B","Separated",13.4022280141834
"18","Digestate B","Separated",9.04698447583459
"19","Pig A","NEO",5.301538675089
"20","Pig A","NEO",4.91589530860518
"21","Pig A","NEO",4.43807837700437
"22","Pig A","Raw",20.3970541138961
"23","Pig A","Raw",16.2471717636336
"24","Pig A","Raw",19.5226149189637
"25","Pig A","Separated",9.09363617604964
"26","Pig A","Separated",5.69963657166058
"27","Pig A","Separated",8.86291723432001
"28","Pig B","NEO",3.66223544132521
"29","Pig B","NEO",5.47802980839418
"30","Pig B","NEO",6.91319034098226
"31","Pig B","Raw",15.2703869869514
"32","Pig B","Raw",20.7881580360272
"33","Pig B","Raw",17.112669856442
"34","Pig B","Separated",9.95748088810508
"35","Pig B","Separated",4.43667739734546
"36","Pig B","Separated",9.59313465498141
